Instance,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,Class Label
20,0.220458984,0.315444946,0.054694173,0.046587874,0.415527344,0.086425781,0.202320099,0.054077987,0.225812847,0.335449219,0.235305786,0.145601798,0.334460516,0.599365234,0.229751587,0.095481176,-0.492834695,0.41015625,130.9921875,7.381580585,132,8.337866606,133.619873,9.540251159,17.4700137,0.885615789,0.050749629,0.261481468,0
21,0.124755859,0.175762177,0.032046924,0.108027234,0.240234375,0.046875,0.082710266,0.019384907,0.517873074,0.130126953,0.133987427,0.067724301,-0.087142663,0.257080078,0.123752594,0.044842175,-0.240832506,0.238525391,118.9794922,4.714719858,118.7253418,4.566084035,115.7871094,4.580453743,3.976376488,0.914471191,0.096519576,0.465084014,0
22,0.053466797,0.091510773,0.019851845,-0.254955091,0.129882813,0.053710938,0.076290131,0.015497462,0.823654569,0.124267578,0.085922241,0.053622344,0.654172691,0.233398438,0.088020325,0.052073022,0.847964234,0.240722656,126.1364746,2.415501224,127.3635254,2.330677643,128.6264648,2.389373202,2.963769015,0.818897729,0.140832249,0.513997027,0
23,0.234619141,0.271347046,0.018624269,0.152426907,0.311523438,0.010742188,0.041564941,0.020239804,1.231283014,0.108154297,0.210292816,0.093854909,-0.245885297,0.406005859,0.207843781,0.104455015,-0.602285166,0.354736328,125.6030273,2.5902896,129.4638672,9.595335938,131.7299805,13.61771736,20.29158399,0.906422236,0.154875465,0.600481471,0
24,0.055664063,0.111904144,0.029363409,-0.210664843,0.155029297,0.041015625,0.134597778,0.05544618,0.054572939,0.228759766,0.237167358,0.177141063,0.478558797,0.560302734,0.223812103,0.15344199,0.669039031,0.515869141,102.5307617,53.16878279,100.2023926,54.8480305,101.3330078,55.63276758,60.56007594,0.990417876,0.067523921,0.421091335,0
25,0.143554688,0.229808807,0.048494164,0.410922656,0.344238281,0.066894531,0.127662659,0.052340337,0.66151791,0.2578125,0.185096741,0.077336315,0.111248204,0.362304688,0.199485779,0.09853957,0.129391725,0.398193359,169.692627,7.951298558,169.6628418,8.057735155,167.973877,7.496877684,10.82611036,0.93145739,0.081846293,0.377619384,0
26,0.209472656,0.312343597,0.045982494,0.393588506,0.431396484,0.147216797,0.250839233,0.050220769,-0.039568417,0.352783203,0.247375488,0.14095109,0.996631471,0.725585938,0.251560211,0.135047015,0.052262036,0.535400391,117.2004395,6.839582764,118.1811523,7.372311231,117.4064941,7.894200725,20.79742319,0.859543132,0.051818323,0.257150498,0
27,0.243164063,0.387485504,0.078444458,-0.075357923,0.517822266,0.056396484,0.201400757,0.150119654,1.11181803,0.528564453,0.262825012,0.176131313,0.59368815,0.657958984,0.264541626,0.150416935,0.111364148,0.525634766,98.19677734,14.6123192,99.82348633,14.92323604,99.92675781,14.88164593,27.17405104,0.943605254,0.070137272,0.339039575,0
28,0.038818359,0.066394806,0.017227622,0.061342701,0.097167969,0.052734375,0.076545715,0.013046111,0.301535383,0.107666016,0.071128845,0.040035974,0.699931412,0.197021484,0.068603516,0.044533439,0.80349455,0.184814453,102.2839355,2.141980807,99.52612305,2.199809386,97.25146484,2.229452139,2.66626118,0.814342329,0.14277354,0.520655168,0
29,0.745117188,0.861572266,0.063328718,-0.14550045,0.989990234,0.066650391,0.25737381,0.127392721,0.155456742,0.517089844,0.55065918,0.247712766,-0.472702302,0.987060547,0.617576599,0.451618009,0.9548822,1.819091797,119.4621582,29.71990885,119.1171875,30.74124046,120.4570313,30.61046545,61.53784899,0.965954477,0.04617068,0.253533719,0
30,0.327148438,0.429672241,0.051870437,-0.020149442,0.517822266,0.057373047,0.166358948,0.071530999,0.746184435,0.340576172,0.305786133,0.178479926,0.496021902,0.725341797,0.325496674,0.258218639,0.296687475,0.8828125,94.44628906,14.50183669,95.24609375,18.1710483,92.30810547,21.85818087,14.56895333,0.980766589,0.042126534,0.299105468,0
31,0.051757813,0.167690277,0.116268263,0.860062318,0.48828125,0.459960938,0.535633087,0.038527628,-0.028147418,0.612304688,0.353500366,0.183625943,0.350007093,0.797607422,0.234920502,0.276719027,1.149707384,0.837646484,130.1235352,29.20296821,130.1018066,31.07036081,131.8710938,31.7634996,28.5156683,0.984623631,0.100839845,0.449256223,0
32,0.086181641,0.134365082,0.026860475,-0.31016751,0.178955078,0.086181641,0.123531342,0.026598253,0.962881884,0.184570313,0.140792847,0.070969963,0.453164784,0.304931641,0.095062256,0.045986345,0.082114139,0.206542969,99.89086914,4.710366583,102.470459,4.75791963,103.8566895,4.924748088,3.361208546,0.932670031,0.105525395,0.495050471,0
33,0.346679688,0.443157196,0.053525667,0.32969886,0.545654297,0.052001953,0.132221222,0.03499763,0.090664256,0.197021484,0.265487671,0.133599264,0.778021423,0.661376953,0.356723785,0.341445221,0.890009883,1.125732422,151.6437988,15.35772421,156.6123047,20.22964073,161.7480469,26.3704083,18.1916395,0.981209686,0.044455018,0.273556483,0
34,0.130615234,0.194335938,0.034533765,1.512960198,0.329101563,0.100585938,0.162208557,0.035355605,0.778357865,0.274902344,0.152908325,0.069406244,-0.174070096,0.296630859,0.154647827,0.081808672,0.459227128,0.368652344,97.63378906,4.573047622,98.52880859,4.714624661,97.8034668,4.61714892,8.85778947,0.843489302,0.078775299,0.348211763,0
35,0.076171875,0.16368103,0.050630656,0.736168369,0.293212891,0.151855469,0.229705811,0.053519697,0.505303564,0.351074219,0.172927856,0.083640068,0.040197784,0.356933594,0.152046204,0.087468793,0.544247243,0.368408203,129.6584473,5.871657288,134.2727051,7.231900704,141.4958496,10.67156535,9.256194492,0.932755327,0.06129757,0.353919128,0
36,0.124023438,0.198261261,0.031462729,-0.387439116,0.256835938,0.118896484,0.191669464,0.043810304,1.340968095,0.350341797,0.172420502,0.103327245,0.631863379,0.450683594,0.168560028,0.089163504,0.319846846,0.406982422,160.0588379,4.566159172,161.4428711,4.646346216,161.2963867,4.657565526,12.28306485,0.802968128,0.069818947,0.305348661,0
37,0.501464844,0.56975174,0.039721806,0.184596784,0.646484375,0.018554688,0.224033356,0.193759626,1.446421532,0.709472656,0.504135132,0.309321953,-0.186580679,1.068115234,0.497898102,0.22014469,-0.416902583,0.923828125,134.2590332,45.0746239,136.8391113,46.96016476,135.6367188,46.30333031,89.17437484,0.978426015,0.064328409,0.328231053,0
38,0.164306641,0.199188232,0.021248147,1.258226348,0.269287109,0.049560547,0.105731964,0.029774189,0.387489104,0.185546875,0.129013062,0.06091631,0.006115454,0.269775391,0.148021698,0.089568387,1.368349653,0.464111328,142.1740723,4.452792928,145.269043,4.588632211,145.4594727,4.76860236,5.642608143,0.881357085,0.090164342,0.404352387,0
39,0.217285156,0.307765961,0.063671818,0.877187311,0.485107422,0.133300781,0.239570618,0.048053364,0.335135016,0.383789063,0.253265381,0.131017557,0.322569587,0.590332031,0.218326569,0.11633104,0.206668161,0.473388672,124.6933594,8.031263062,124.4020996,8.205263738,125.3198242,8.298376016,21.53158364,0.864023738,0.050235417,0.249973866,0
40,0.098876953,0.194293976,0.082611851,0.769372727,0.367431641,0.040527344,0.143733978,0.071835219,0.197663512,0.261474609,0.273525238,0.144786097,0.037314744,0.500488281,0.276954651,0.193137811,1.528320084,0.951904297,145.5649414,49.27033191,144.6621094,50.83998132,145.9753418,50.96662441,57.39004925,0.98894945,0.067055197,0.455278514,0
41,0.196533203,0.234668732,0.018016033,-0.195810605,0.261962891,0.040039063,0.079864502,0.020110482,-0.045547737,0.126708984,0.165657043,0.074239,0.220896527,0.327636719,0.163906097,0.065098284,-0.474986732,0.257324219,119.2050781,5.471778946,117.3503418,5.429148119,114.6396484,5.421269804,4.996686232,0.921323609,0.083746606,0.422597682,0
42,0.070800781,0.117797852,0.025739727,0.490370475,0.178466797,0.032714844,0.063037872,0.014077913,-0.072188962,0.090332031,0.08764267,0.057032455,1.41749006,0.271240234,0.10993576,0.059529035,0.806533898,0.275146484,91.59375,4.145133159,87.81542969,4.219457835,84.75756836,4.310752176,2.623334751,0.934567054,0.118083902,0.528298545,0
43,0.344482422,0.433849335,0.051134994,-0.027396125,0.528076172,0.078857422,0.14106369,0.033723544,0.422916139,0.221679688,0.293354034,0.161102759,0.120350476,0.680908203,0.337120056,0.281154412,0.879325132,1.039794922,88.95556641,16.35388901,87.87304688,20.57104676,82.70166016,24.85593956,14.11758216,0.985413224,0.04418668,0.304243432,0
44,0.068847656,0.092704773,0.0126321,0.316777067,0.124511719,0.042724609,0.071865082,0.013244936,-0.454394549,0.090820313,0.084442139,0.037725788,-0.209823909,0.167480469,0.092868805,0.049077306,0.550062995,0.226806641,106.7824707,2.700874307,104.5471191,2.758107102,102.6289063,2.625834015,2.451817012,0.874101114,0.13141066,0.524824035,0
45,0.143310547,0.239372253,0.052178097,0.323992398,0.384033203,0.147705078,0.267360687,0.076733646,0.231676412,0.411865234,0.228549957,0.122252922,0.872605407,0.56640625,0.200820923,0.128533126,0.892410925,0.572265625,130.5571289,8.566984339,133.5561523,9.907298409,135.7626953,11.00076946,23.74167966,0.889278593,0.048510071,0.235449503,0
46,0.155029297,0.237174988,0.03156028,-0.464373871,0.283691406,0.065185547,0.140918732,0.033652136,-0.308795688,0.196777344,0.162940979,0.095472961,0.378571305,0.377685547,0.166439056,0.082009963,0.307927972,0.346191406,140.3588867,5.276265134,143.536377,5.574306725,143.7297363,5.862141391,8.065016574,0.890844077,0.078750184,0.355640417,0
47,0.072753906,0.110935211,0.020121321,0.05971516,0.155761719,0.015625,0.062580109,0.023245063,-0.215943399,0.101318359,0.090309143,0.061770876,0.476188039,0.221923828,0.109725952,0.044492156,0.035821546,0.222900391,155.1940918,3.371116727,155.0256348,3.668792202,158.1010742,3.957111234,2.587991504,0.912463027,0.119286357,0.527906701,0
48,0.103027344,0.181545258,0.041847392,0.570465165,0.296142578,0.088867188,0.156986237,0.035190129,0.184633761,0.229492188,0.158042908,0.08280702,0.437151308,0.380371094,0.148765564,0.080027055,0.618404739,0.380859375,143.2211914,3.729619114,144.2521973,3.669729434,142.3286133,3.772125047,10.74771766,0.787902117,0.079538642,0.33322288,0
49,0.131835938,0.249908447,0.044149127,-0.780665851,0.336914063,0.135498047,0.22990036,0.055589141,0.643614268,0.370117188,0.225299835,0.113158114,-0.100446168,0.441650391,0.198356628,0.079008554,-0.284681869,0.364501953,132.5991211,5.383300205,133.2412109,6.056167835,134.2741699,6.921065613,17.73430709,0.822187165,0.05805747,0.26755885,0
50,0.225830078,0.327667236,0.055465788,0.12605341,0.453857422,0.034423828,0.164134979,0.123322358,0.828056041,0.430175781,0.248962402,0.164357522,0.021471798,0.593994141,0.270210266,0.183557078,-0.029708989,0.607177734,105.2644043,13.75297065,104.2194824,14.3651774,105.1271973,14.45648382,20.20140267,0.953033436,0.092356462,0.39804082,0
51,0.208496094,0.282520294,0.047830814,0.224803809,0.370849609,0.092285156,0.141059875,0.031550733,0.400206583,0.216064453,0.186393738,0.108551381,0.297048172,0.438476563,0.179039001,0.092313815,0.617176206,0.420898438,137.5085449,7.188751605,139.9572754,7.91873895,140.4040527,8.028639725,10.13137854,0.919520148,0.068587873,0.331582684,0
52,0.091064453,0.198963165,0.06149613,-0.412721354,0.294921875,0.027099609,0.102848053,0.060198586,1.131085425,0.258544922,0.159843445,0.113723618,0.635434917,0.430908203,0.14276123,0.119332284,1.410106039,0.496826172,115.7373047,6.034878682,108.2265625,6.410016995,101.3967285,6.882317061,2.586617575,0.969010754,0.108099168,0.576511582,0
53,0.060058594,0.083656311,0.009437604,0.368458027,0.110351563,0.040771484,0.07660675,0.018666157,0.373979963,0.115966797,0.084197998,0.042685365,0.416569383,0.190917969,0.074729919,0.03740715,0.388270639,0.156005859,121.8037109,2.234221126,120.2988281,2.351042528,117.5820313,2.261496103,2.495376276,0.80293338,0.150515329,0.518563249,0
54,0.157226563,0.230865479,0.041368049,0.451033385,0.351318359,0.128662109,0.192710876,0.045327845,1.071549045,0.309814453,0.172649384,0.092753384,0.022901116,0.375732422,0.182098389,0.119407624,0.780361857,0.518554688,102.420166,5.106289547,102.0229492,5.358893081,101.0595703,5.270826086,11.98014101,0.838643448,0.072959187,0.317879401,0
55,0.047119141,0.114177704,0.064649515,1.353827426,0.287353516,0.010498047,0.050563812,0.043043832,2.012027089,0.204101563,0.104785919,0.076869099,0.837826147,0.337890625,0.102893829,0.051884764,0.045043193,0.233154297,110.6887207,4.274918873,108.699707,4.294307177,107.4394531,4.855806175,5.226372551,0.895623033,0.130490429,0.595547186,0
56,0.085205078,0.128131866,0.024380873,0.165411253,0.173828125,0.051025391,0.090946198,0.023160087,0.602354899,0.162597656,0.1304245,0.092929984,1.005520336,0.382080078,0.119091034,0.043471327,-0.744546915,0.180419922,190.1533203,3.595845681,190.4228516,3.587005257,190.4467773,3.406765925,4.529885913,0.862507722,0.106242066,0.44915812,0
57,0.230957031,0.495410919,0.119346918,-1.255478118,0.628173828,0.038818359,0.110824585,0.044310764,0.560502873,0.214355469,0.402507782,0.226796667,-0.18229624,0.692626953,0.438327789,0.248662255,-0.075528104,0.919677734,120.5876465,18.31351676,126.1062012,23.7534681,130.9523926,27.00248522,49.06417608,0.95621114,0.053682438,0.327048812,0
58,0.051025391,0.076774597,0.018054544,0.431239467,0.118164063,0.047607422,0.104598999,0.088154279,2.533061686,0.391357422,0.087860107,0.052859819,-0.205953088,0.192382813,0.074291229,0.037681973,0.441044314,0.177734375,139.4121094,3.412993589,138.576416,3.782091906,138.2033691,3.945106539,3.169097616,0.910855365,0.178665247,0.601025298,0
59,0.030761719,0.229827881,0.224021056,1.331131648,0.756347656,0.016357422,0.080421448,0.061884407,1.595334645,0.240722656,0.204311371,0.22999239,1.249464867,0.763671875,0.294284821,0.281864553,0.919584134,0.852539063,122.4414063,18.58040446,120.9047852,21.88879513,119.2197266,25.27629667,9.141531439,0.991800951,0.076939393,0.427979317,0
60,0.080810547,0.14056015,0.027847862,0.258631044,0.202392578,0.05859375,0.107517242,0.027570487,0.822686953,0.195800781,0.117183685,0.067786054,0.360584928,0.26953125,0.116672516,0.055489486,-0.147337026,0.234375,119.411377,3.345349713,119.9089355,3.235508292,120.092041,3.023035767,5.963280856,0.808597893,0.105158581,0.407714065,0
61,0.247558594,0.369102478,0.080741913,0.501621658,0.540039063,0.182373047,0.273330688,0.063749371,0.715139896,0.426025391,0.292812347,0.162758707,0.520534796,0.724609375,0.24810791,0.153984302,0.410458808,0.583007813,120.9008789,8.039723109,120.6464844,8.430380523,121.6252441,8.502236461,25.64508633,0.856884117,0.04764824,0.233871406,0
62,0.310791016,0.39944458,0.06881611,0.970452156,0.562255859,0.047607422,0.109954834,0.057315416,1.416729282,0.262695313,0.267570496,0.131538812,0.10901366,0.537841797,0.281555176,0.169735115,0.539236407,0.658935547,127.0002441,12.80101429,124.4111328,12.75996903,119.2004395,12.69404503,33.75937343,0.922965657,0.066513844,0.362687447,0
63,0.0546875,0.08335495,0.019118663,0.366951927,0.129394531,0.035400391,0.074371338,0.020647369,0.046960019,0.121582031,0.156082153,0.145247488,0.827169528,0.420898438,0.160667419,0.142284677,1.063987502,0.489746094,149.8759766,3.146837609,155.3125,18.46198057,154.6601563,22.89725766,26.99954432,0.959554573,0.119090064,0.428697273,0
64,0.645507813,0.780704498,0.07415579,0.354709521,0.919921875,0.077148438,0.311077118,0.325425887,1.555822041,1.111816406,0.588119507,0.25900606,-0.398290042,1.096191406,0.622867584,0.31777915,0.152650214,1.333740234,130.1928711,28.06674362,128.1369629,29.04071833,127.3745117,28.8516524,117.2885655,0.935339251,0.055363659,0.26376007,0
65,0.119628906,0.157203674,0.022828769,0.3483181,0.211669922,0.090332031,0.159763336,0.03641773,0.321323731,0.250732422,0.156330109,0.080024527,0.952021486,0.383056641,0.137649536,0.093023063,1.947641263,0.489257813,176.9997559,4.397181486,180.6181641,4.452187637,183.236084,4.620529585,9.265189004,0.806422948,0.078526881,0.329932257,0
66,0.206542969,0.255821228,0.024741315,0.42747862,0.320556641,0.008544922,0.062026978,0.032995666,0.600209169,0.136962891,0.200321198,0.10473631,-0.676123454,0.361572266,0.175552368,0.099752425,0.60607021,0.398193359,134.5161133,8.617593861,133.6879883,10.01543303,133.4306641,11.37302855,3.288967034,0.985048367,0.087405378,0.531710551,0
67,0.08984375,0.119644165,0.016516348,0.336107031,0.159912109,0.037353516,0.083774567,0.025509806,0.518804212,0.165283203,0.109230042,0.063257775,-0.200627835,0.207519531,0.11100769,0.047768089,-0.270027548,0.207519531,175.0712891,2.856221946,174.3937988,2.995594197,171.4997559,2.950850635,4.949519912,0.81129217,0.108557704,0.426686126,0
68,0.150146484,0.31293869,0.10973943,0.300381722,0.508789063,0.124755859,0.210586548,0.036411368,-0.404982401,0.290527344,0.23141861,0.15826901,0.626122603,0.60546875,0.274681091,0.195447573,1.051753766,0.735839844,119.6125488,14.77533671,120.762207,14.01108996,122.4509277,13.80378451,12.05075665,0.969490848,0.052389256,0.303536254,0
69,0.043457031,0.071613312,0.019336399,0.996285092,0.124755859,0.04296875,0.071647644,0.018594497,0.155669391,0.108154297,0.076786041,0.047866527,0.485753809,0.203125,0.078491211,0.048967525,0.79395627,0.223144531,128.2282715,1.748155149,129.9350586,1.69491467,130.6628418,1.827215621,2.568625598,0.777573705,0.165550934,0.539177976,0
70,0.043212891,0.075881958,0.015464849,0.197213604,0.110839844,0.013183594,0.036037445,0.012103567,-0.100257257,0.058105469,0.06728363,0.041819522,0.413032157,0.145751953,0.090427399,0.039050592,0.568884531,0.218994141,160.1948242,2.498951454,159.0466309,2.931513744,161.8925781,3.592823738,1.318735828,0.930265065,0.160406732,0.636780129,0
71,0.242675781,0.42924118,0.063511964,-0.595293444,0.560791016,0.063476563,0.190891266,0.067337382,-0.184109692,0.301025391,0.323802948,0.150622243,0.238702454,0.763427734,0.334609985,0.160935697,-0.141039897,0.720947266,132.215332,7.141122062,143.5292969,14.93318848,150.1115723,22.87917275,31.78132677,0.934118668,0.046764023,0.250579939,0
72,0.127197266,0.302345276,0.186884135,0.467203689,0.582519531,0.010009766,0.111904144,0.122600407,1.199389968,0.399169922,0.164955139,0.10506093,0.457172657,0.405517578,0.264877319,0.242540463,1.802226297,1.107421875,128.7841797,10.62531267,128.7592773,12.94580658,130.7336426,15.24313373,18.55784281,0.947912723,0.088009948,0.522015829,0
73,0.097167969,0.215393066,0.068382763,-0.285125654,0.335205078,0.008789063,0.096572876,0.063846448,0.981576356,0.259033203,0.163837433,0.124464103,0.764782313,0.478759766,0.156890869,0.120063231,0.969219123,0.484619141,115.1845703,6.447248097,107.6950684,6.935601873,100.8518066,7.540079216,2.71341569,0.972408762,0.10350454,0.568607286,0
74,0.070556641,0.134475708,0.040313083,0.970347664,0.251464844,0.068115234,0.129554749,0.03613872,0.375006481,0.222167969,0.143760681,0.086633532,0.663357348,0.343994141,0.123218536,0.071714201,0.937458895,0.344726563,172.1955566,3.439358842,172.7280273,3.473920079,170.0861816,3.597436217,6.957433784,0.832220424,0.104618111,0.411673698,0
75,0.211181641,0.307994843,0.061071354,0.108996149,0.438720703,0.111572266,0.217376709,0.068644806,0.45541109,0.37109375,0.23493576,0.143432251,0.541746128,0.624267578,0.225540161,0.169424188,1.374047739,0.731689453,120.3708496,6.635083707,121.515625,7.08515793,119.8481445,7.202388552,18.89202747,0.862623093,0.057468396,0.270688086,0
76,0.061767578,0.102043152,0.018819573,0.588094546,0.151367188,0.061523438,0.093891144,0.017787576,0.411514076,0.137695313,0.100673676,0.047137289,-0.421459847,0.186035156,0.089862823,0.050305898,0.598929039,0.229980469,118.6057129,2.998706847,116.3901367,2.903163748,114.0109863,2.949216395,3.898786887,0.821845711,0.116352066,0.455560364,0
77,0.056396484,0.130977631,0.057107709,1.298297557,0.305175781,0.028320313,0.093223572,0.047578661,1.312603421,0.231933594,0.106071472,0.057480358,0.266353361,0.233642578,0.145904541,0.120357185,1.757648487,0.546630859,100.114502,12.03262268,100.0224609,12.8457071,102.5844727,12.99117764,12.48876842,0.963420586,0.114867969,0.463489152,0
78,0.644775391,0.839664459,0.086945059,-0.278365176,0.997314453,0.153076172,0.369735718,0.193202595,1.420771898,0.964355469,0.726722717,0.334539288,-0.229067285,1.388916016,0.711193085,0.368157499,-0.567926561,1.302978516,127.159668,44.0071782,129.2646484,46.49820204,129.3786621,47.01778694,150.9118609,0.963354221,0.031303406,0.21745554,0
